###########################################################;;;;;;;;;;;;;x
USA_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_1;BuShips 1918 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_2;BuShips 1930 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_3;BuShips 1932 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_technology_4;BuShips 1934 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_0;;;;;;;;;;;;;;x
USA_destroyer_class_1;BuShips 1936 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_2;BuShips 1938 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_3;BuShips 1940 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_4;BuShips 1942 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_5;BuShips 1944 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_6;BuShips 1946 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_7;BuShips 1948 Destroyer Blueprint;;;;;;;;;;;;;x
USA_destroyer_class_8;BuShips 1950 Destroyer Blueprint;;;;;;;;;;;;;x
USA_frigate_class_0;;;;;;;;;;;;;;x
USA_frigate_class_1;BuShips 1939 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_2;BuShips 1940 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_3;BuShips 1942 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_4;BuShips 1944 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_5;BuShips 1946 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_6;BuShips 1948 Frigate Blueprint;;;;;;;;;;;;;x
USA_frigate_class_7;BuShips 1950 Frigate Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_0;;;;;;;;;;;;;;x
USA_torpedo_boat_class_1;BuShips 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_2;BuShips 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_3;BuShips 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_4;BuShips 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_5;BuShips 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_6;BuShips 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_7;BuShips 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_8;BuShips 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_9;BuShips 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_10;BuShips 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_torpedo_boat_class_11;BuShips 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_1;BuShips 1918 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_2;BuShips 1932 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_3;BuShips 1934 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_4;BuShips 1936 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_5;BuShips 1938 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_6;BuShips 1940 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_7;BuShips 1942 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_8;BuShips 1944 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_9;BuShips 1946 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_10;BuShips 1948 MTB Blueprint;;;;;;;;;;;;;x
USA_motor_torpedo_boat_class_11;BuShips 1950 MTB Blueprint;;;;;;;;;;;;;x
USA_carrier_rudder_optimisation_8;Balanced Rudder, 2.200 sq ft, 15.500 psi;;;;;;;;;;;;;;x
USA_carrier_rudder_optimisation_9;Balanced Rudder, 2.300 sq ft, 15.500 psi;;;;;;;;;;;;;;x
USA_carrier_hull_shape_optimisation_1;BuShips Hull Blueprint 1918;;;;;;;;;;;;;x
USA_carrier_hull_shape_optimisation_2;BuShips Hull Blueprint 1929;;;;;;;;;;;;;x
USA_carrier_hull_shape_optimisation_3;BuShips Hull Blueprint 1932;;;;;;;;;;;;;x
USA_carrier_hull_shape_optimisation_4;BuShips Hull Blueprint 1935;;;;;;;;;;;;;x
USA_carrier_hull_shape_optimisation_5;BuShips Hull Blueprint 1938;;;;;;;;;;;;;x
USA_carrier_hull_shape_optimisation_6;BuShips Hull Blueprint 1941;;;;;;;;;;;;;x
USA_carrier_hull_shape_optimisation_7;BuShips Hull Blueprint 1944;;;;;;;;;;;;;x
USA_carrier_hull_shape_optimisation_8;BuShips Hull Blueprint 1947;;;;;;;;;;;;;x
USA_carrier_hull_shape_optimisation_9;BuShips Hull Blueprint 1950;;;;;;;;;;;;;x
USA_carrier_armour_thickness_1;Magazines: 25mm Avgas: 25mm;;;;;;;;;;;;;;x
USA_carrier_armour_thickness_2;Magazines: 37mm Avgas: 25mm;;;;;;;;;;;;;;x
USA_carrier_armour_thickness_3;Magazines: 51mm Avgas: 37mm;;;;;;;;;;;;;;x
USA_carrier_armour_thickness_4;Magazines: 51mm Avgas: 51mm;;;;;;;;;;;;;;x
USA_carrier_armour_thickness_5;Magazines: 51mm Avgas: 51mm;;;;;;;;;;;;;;x
USA_carrier_armour_thickness_6;Magazines: 64mm Avgas: 64mm;;;;;;;;;;;;;;x
USA_carrier_armour_thickness_7;Magazines: 70mm Avgas: 64mm;;;;;;;;;;;;;;x
USA_carrier_armour_thickness_8;Magazines: 70mm Avgas: 70mm;;;;;;;;;;;;;;x
USA_carrier_armour_thickness_9;Magazines: 75mm Avgas: 70mm;;;;;;;;;;;;;;x
USA_light_carrier_armour_thickness_1;Magazines: 10mm Avgas: 10mm;;;;;;;;;;;;;;x
USA_light_carrier_armour_thickness_2;Magazines: 30mm Avgas: 15mm;;;;;;;;;;;;;;x
USA_light_carrier_armour_thickness_3;Magazines: 40mm Avgas: 25mm;;;;;;;;;;;;;;x
USA_light_carrier_armour_thickness_4;Magazines: 70mm Avgas: 30mm;;;;;;;;;;;;;;x
USA_light_carrier_armour_thickness_5;Magazines: 83mm Avgas: 38mm;;;;;;;;;;;;;;x
USA_light_carrier_armour_thickness_6;Magazines: 102mm Avgas: 51mm;;;;;;;;;;;;;;x
USA_light_carrier_armour_thickness_7;Magazines: 102mm Avgas: 55mm;;;;;;;;;;;;;;x
USA_light_carrier_armour_thickness_8;Magazines: 102mm Avgas: 76mm;;;;;;;;;;;;;;x
USA_light_carrier_armour_thickness_9;Magazines: 110mm Avgas: 76mm;;;;;;;;;;;;;;x
USA_carrier_vertical_protection_1;Main Belt: CV:102mm CVL:30mm Hangar: CV:25mm CVL:10mm;;;;;;;;;;;;;;x
USA_carrier_vertical_protection_2;Main Belt: CV:127mm CVL:45mm Hangar: CV:25mm CVL:20mm;;;;;;;;;;;;;;x
USA_carrier_vertical_protection_3;Main Belt: CV:152mm CVL:57mm Hangar: CV:38mm CVL:25mm;;;;;;;;;;;;;;x
USA_carrier_vertical_protection_4;Main Belt: CV:178mm CVL:70mm Hangar: CV:38mm CVL:30mm;;;;;;;;;;;;;;x
USA_carrier_vertical_protection_5;Main Belt: CV:178mm CVL:83mm Hangar: CV:51mm CVL:38mm;;;;;;;;;;;;;;x
USA_carrier_vertical_protection_6;Main Belt: CV:203mm CVL:102mm Hangar: CV:51mm CVL:38mm;;;;;;;;;;;;;;x
USA_carrier_vertical_protection_7;Main Belt: CV:203mm CVL:102mm Hangar: CV:60mm CVL:45mm;;;;;;;;;;;;;;x
USA_carrier_vertical_protection_8;Main Belt: CV:203mm CVL:110mm Hangar: CV:70mm CVL:45mm;;;;;;;;;;;;;;x
USA_carrier_vertical_protection_9;Main Belt: CV:203mm CVL:110mm Hangar: CV:80mm CVL:50mm;;;;;;;;;;;;;;x
USA_carrier_horizontal_protection_1;Flight deck: CV: 0mm CVL:10mm Hangar deck: CV: 0mm CVL:10mm;;;;;;;;;;;;;;x
USA_carrier_horizontal_protection_2;Flight deck: CV:10mm CVL:20mm Hangar deck: CV:10mm CVL:10mm;;;;;;;;;;;;;;x
USA_carrier_horizontal_protection_3;Flight deck: CV:20mm CVL:25mm Hangar deck: CV:25mm CVL:15mm;;;;;;;;;;;;;;x
USA_carrier_horizontal_protection_4;Flight deck: CV:30mm CVL:30mm Hangar deck: CV:35mm CVL:20mm;;;;;;;;;;;;;;x
USA_carrier_horizontal_protection_5;Flight deck: CV:38mm CVL:38mm Hangar deck: CV:51mm CVL:25mm;;;;;;;;;;;;;;x
USA_carrier_horizontal_protection_6;Flight deck: CV:38mm CVL:38mm Hangar deck: CV:51mm CVL:25mm;;;;;;;;;;;;;;x
USA_carrier_horizontal_protection_7;Flight deck: CV:45mm CVL:38mm Hangar deck: CV:60mm CVL:30mm;;;;;;;;;;;;;;x
USA_carrier_horizontal_protection_8;Flight deck: CV:55mm CVL:45mm Hangar deck: CV:70mm CVL:30mm;;;;;;;;;;;;;;x
USA_carrier_horizontal_protection_9;Flight deck: CV:65mm CVL:55mm Hangar deck: CV:80mm CVL:35mm;;;;;;;;;;;;;;x
USA_carrier_torpedo_protection_1;2.4m/0mm;;;;;;;;;;;;;;x
USA_carrier_torpedo_protection_2;2.4m/15mm;;;;;;;;;;;;;;x
USA_carrier_torpedo_protection_3;2.5m/55mm;;;;;;;;;;;;;;x
USA_carrier_torpedo_protection_4;2.5m/65mm;;;;;;;;;;;;;;x
USA_carrier_torpedo_protection_5;2.5m/75mm;;;;;;;;;;;;;;x
USA_carrier_torpedo_protection_6;2.5m/85mm;;;;;;;;;;;;;;x
USA_carrier_torpedo_protection_7;2.7m/95mm;;;;;;;;;;;;;;x
USA_carrier_torpedo_protection_8;3m/100mm;;;;;;;;;;;;;;x
USA_carrier_torpedo_protection_9;3.5m/120mm;;;;;;;;;;;;;;x
USA_carrier_bulkheads_layout_1;CV: 102mm / CVL: 25mm;;;;;;;;;;;;;;x
USA_carrier_bulkheads_layout_2;CV: 114mm / CVL: 35mm;;;;;;;;;;;;;;x
USA_carrier_bulkheads_layout_3;CV: 127mm / CVL: 50mm;;;;;;;;;;;;;;x
USA_carrier_bulkheads_layout_4;CV: 140mm / CVL: 60mm;;;;;;;;;;;;;;x
USA_carrier_bulkheads_layout_5;CV: 152mm / CVL: 76mm;;;;;;;;;;;;;;x
USA_carrier_bulkheads_layout_6;CV: 203mm / CVL: 76mm;;;;;;;;;;;;;;x
USA_carrier_bulkheads_layout_7;CV: 203mm / CVL: 85mm;;;;;;;;;;;;;;x
USA_carrier_bulkheads_layout_8;CV: 215mm / CVL: 85mm;;;;;;;;;;;;;;x
USA_carrier_bulkheads_layout_9;CV: 215mm / CVL: 100mm;;;;;;;;;;;;;;x
USA_carrier_hanger_1;BuShips Hangar Layout Blueprint 1918;;;;;;;;;;;;;x
USA_carrier_hanger_2;BuShips Hangar Layout Blueprint 1929;;;;;;;;;;;;;x
USA_carrier_hanger_3;BuShips Hangar Layout Blueprint 1932;;;;;;;;;;;;;x
USA_carrier_hanger_4;BuShips Hangar Layout Blueprint 1935;;;;;;;;;;;;;x
USA_carrier_hanger_5;BuShips Hangar Layout Blueprint 1938;;;;;;;;;;;;;x
USA_carrier_hanger_6;BuShips Hangar Layout Blueprint 1941;;;;;;;;;;;;;x
USA_carrier_hanger_7;BuShips Hangar Layout Blueprint 1944;;;;;;;;;;;;;x
USA_carrier_hanger_8;BuShips Hangar Layout Blueprint 1947;;;;;;;;;;;;;x
USA_carrier_hanger_9;BuShips Hangar Layout Blueprint 1950;;;;;;;;;;;;;x
USA_escort_carrier_technology_1;;;;;;;;;;;;;;;x
USA_seaplane_tender_technology_1;;;;;;;;;;;;;;;x
USA_carrier_deck_armour_optimisation_1;;;;;;;;;;;;;;;x
USA_carrier_flight_deck_optimisation_1;;;;;;;;;;;;;;;x
USA_carrier_damage_control_1;;;;;;;;;;;;;;;x
USA_carrier_damage_control_2;;;;;;;;;;;;;;;x
USA_carrier_damage_control_3;;;;;;;;;;;;;;;x
USA_carrier_damage_control_4;;;;;;;;;;;;;;;x
USA_carrier_damage_control_5;;;;;;;;;;;;;;;x
USA_carrier_damage_control_6;;;;;;;;;;;;;;;x
USA_carrier_damage_control_7;;;;;;;;;;;;;;;x
USA_cag_fighter_1;;;;;;;;;;;;;;;x
USA_cag_fighter_2;;;;;;;;;;;;;;;x
USA_cag_fighter_3;;;;;;;;;;;;;;;x
USA_cag_fighter_4;;;;;;;;;;;;;;;x
USA_cag_fighter_5;;;;;;;;;;;;;;;x
USA_cag_fighter_6;;;;;;;;;;;;;;;x
USA_cag_bomber_1;;;;;;;;;;;;;;;x
USA_cag_bomber_2;;;;;;;;;;;;;;;x
USA_cag_bomber_3;;;;;;;;;;;;;;;x
USA_cag_bomber_4;;;;;;;;;;;;;;;x
USA_cag_bomber_5;;;;;;;;;;;;;;;x
USA_cag_bomber_6;;;;;;;;;;;;;;;x
USA_cag_torpedo_1;;;;;;;;;;;;;;;x
USA_cag_torpedo_2;;;;;;;;;;;;;;;x
USA_cag_torpedo_3;;;;;;;;;;;;;;;x
USA_cag_torpedo_4;;;;;;;;;;;;;;;x
USA_cag_torpedo_5;;;;;;;;;;;;;;;x
USA_cag_torpedo_6;;;;;;;;;;;;;;;x
USA_off_center_elevators_1;;;;;;;;;;;;;;;x
USA_carrier_catapults_1;H-1;;;;;;;;;;;;;;x
USA_carrier_catapults_2;H-2;;;;;;;;;;;;;;x
USA_carrier_catapults_3;H-3;;;;;;;;;;;;;;x
USA_carrier_catapults_4;CAT-P;;;;;;;;;;;;;;x
USA_open_hangar_1;;;;;;;;;;;;;;;x
USA_closed_hangar_1;;;;;;;;;;;;;;;x
USA_carrier_safety_procedures_1;;;;;;;;;;;;;;;x
USA_carrier_safety_procedures_2;;;;;;;;;;;;;;;x
USA_carrier_safety_procedures_3;;;;;;;;;;;;;;;x
USA_carrier_safety_procedures_4;;;;;;;;;;;;;;;x
USA_carrier_safety_procedures_5;;;;;;;;;;;;;;;x
USA_carrier_safety_procedures_6;;;;;;;;;;;;;;;x
USA_carrier_safety_procedures_7;;;;;;;;;;;;;;;x
USA_carrier_safety_procedures_8;;;;;;;;;;;;;;;x
USA_carrier_safety_procedures_9;;;;;;;;;;;;;;;x
USA_carrier_safety_procedures_10;;;;;;;;;;;;;;;x
USA_double_hangar_1;;;;;;;;;;;;;;;x
USA_deck_park_1;;;;;;;;;;;;;;;x
USA################################################################################;;;;;;;;;;;;;x
USA_coastal_submarine_class_1;BuShips 1918 Coastal Submarine Blueprint;;;;;;;;;;;;;x
USA_coastal_submarine_class_2;BuShips 1933 Coastal Submarine Blueprint;;;;;;;;;;;;;x
USA_coastal_submarine_class_3;BuShips 1935 Coastal Submarine Blueprint;;;;;;;;;;;;;x
USA_coastal_submarine_class_4;BuShips 1937 Coastal Submarine Blueprint;;;;;;;;;;;;;x
USA_coastal_submarine_class_5;BuShips 1939 Coastal Submarine Blueprint;;;;;;;;;;;;;x
USA_coastal_submarine_class_6;BuShips 1941 Coastal Submarine Blueprint;;;;;;;;;;;;;x
USA_coastal_submarine_class_7;BuShips 1943 Coastal Submarine Blueprint;;;;;;;;;;;;;x
USA_submarine_class_1;BuShips 1918 Submarine Blueprint;;;;;;;;;;;;;x
USA_submarine_class_2;BuShips 1933 Submarine Blueprint;;;;;;;;;;;;;x
USA_submarine_class_3;BuShips 1935 Submarine Blueprint;;;;;;;;;;;;;x
USA_submarine_class_4;BuShips 1937 Submarine Blueprint;;;;;;;;;;;;;x
USA_submarine_class_5;BuShips 1939 Submarine Blueprint;;;;;;;;;;;;;x
USA_submarine_class_6;BuShips 1941 Submarine Blueprint;;;;;;;;;;;;;x
USA_submarine_class_7;BuShips 1943 Submarine Blueprint;;;;;;;;;;;;;x
USA_submarine_class_8;BuShips 1945 Submarine Blueprint;;;;;;;;;;;;;x
USA_submarine_class_9;BuShips 1947 Submarine Blueprint;;;;;;;;;;;;;x
USA_submarine_class_10;BuShips 1949 Submarine Blueprint;;;;;;;;;;;;;x
USA_submarine_class_11;BuShips 1951 Submarine Blueprint;;;;;;;;;;;;;x
USA_long_range_submarine_class_1;BuShips 1918 Long Range Submarine Blueprint;;;;;;;;;;;;;x
USA_long_range_submarine_class_2;BuShips 1933 Long Range Submarine Blueprint;;;;;;;;;;;;;x
USA_long_range_submarine_class_3;BuShips 1936 Long Range Submarine Blueprint;;;;;;;;;;;;;x
USA_long_range_submarine_class_4;BuShips 1939 Long Range Submarine Blueprint;;;;;;;;;;;;;x
USA_long_range_submarine_class_5;BuShips 1942 Long Range Submarine Blueprint;;;;;;;;;;;;;x
USA_long_range_submarine_class_6;BuShips 1945 Long Range Submarine Blueprint;;;;;;;;;;;;;x
USA_long_range_submarine_class_7;BuShips 1948 Long Range Submarine Blueprint;;;;;;;;;;;;;x
USA_long_range_submarine_class_8;BuShips 1951 Long Range Submarine Blueprint;;;;;;;;;;;;;x
USA_electro_submarine_class_1;BuShips 1942 Electro Submarine Blueprint;;;;;;;;;;;;;x
USA_electro_submarine_class_2;BuShips 1944 Electro Submarine Blueprint;;;;;;;;;;;;;x
USA_electro_submarine_class_3;BuShips 1948 Electro Submarine Blueprint;;;;;;;;;;;;;x
USA_electro_submarine_class_4;BuShips 1952 Electro Submarine Blueprint;;;;;;;;;;;;;x
USA_nuclear_submarine_design_1;BuShips 1952 Nuclear Submarine Blueprint;;;;;;;;;;;;;x
USA_nuclear_submarine_design_2;BuShips 1954 Nuclear Submarine Blueprint;;;;;;;;;;;;;x
USA_nuclear_submarine_design_3;BuShips 1959 Nuclear Submarine Blueprint;;;;;;;;;;;;;x
USA_nuclear_submarine_design_4;BuShips 1964 Nuclear Submarine Blueprint;;;;;;;;;;;;;x
USA_submarine_engine_1;Winton 16-248 V16 1.500 shp, Electric Motors 1.300 shp;;;;;;;;;;;;;;x
USA_submarine_engine_2;Winton 16-248 V16 1.600 shp, Electric Motors 1.600 shp;;;;;;;;;;;;;;x
USA_submarine_engine_3;Winton 16-248 V16 1.750 shp, Electric Motors 1.600 shp;;;;;;;;;;;;;;x
USA_submarine_engine_4;Winton 16-248 V16 1.750 shp, Electric Motors 1.700 shp;;;;;;;;;;;;;;x
USA_submarine_engine_5;Winton 16-248 V16 1.800 shp, Electric Motors 1.800 shp;;;;;;;;;;;;;;x
USA_submarine_engine_6;Winton 16-248 V16 1.800 shp, Electric Motors 2.000 shp;;;;;;;;;;;;;;x
USA_submarine_engine_7;Winton 16-248 V16 1.800 shp, Electric Motors 2.500 shp;;;;;;;;;;;;;;x
USA_submarine_engine_8;Winton 16-248 V16 1.900 shp, Electric Motors 2.600 shp;;;;;;;;;;;;;;x
USA_submarine_engine_9;Winton 16-248 V16 2.000 shp, Electric Motors 2.700 shp;;;;;;;;;;;;;;x
USA_submarine_engine_10;Winton 16-248 V16 2.100 shp, Electric Motors 2.750 shp;;;;;;;;;;;;;;x
USA_submarine_engine_11;Winton 16-248 V16 2.200 shp, Electric Motors 2.800 shp;;;;;;;;;;;;;;x
USA_submarine_engine_12;Winton 16-248 V16 2.300 shp, Electric Motors 2.850 shp;;;;;;;;;;;;;;x
USA_submarine_hull_1;BuShips 1918 Hull Blueprint;;;;;;;;;;;;;x
USA_submarine_hull_2;BuShips 1932 Hull Blueprint;;;;;;;;;;;;;x
USA_submarine_hull_3;BuShips 1934 Hull Blueprint;;;;;;;;;;;;;x
USA_submarine_hull_4;BuShips 1936 Hull Blueprint;;;;;;;;;;;;;x
USA_submarine_hull_5;BuShips 1938 Hull Blueprint;;;;;;;;;;;;;x
USA_submarine_hull_6;BuShips 1940 Hull Blueprint;;;;;;;;;;;;;x
USA_submarine_hull_7;BuShips 1942 Hull Blueprint;;;;;;;;;;;;;x
USA_submarine_hull_8;BuShips 1944 Hull Blueprint;;;;;;;;;;;;;x
USA_submarine_hull_9;BuShips 1946 Hull Blueprint;;;;;;;;;;;;;x
USA_submarine_hull_10;BuShips 1948 Hull Blueprint;;;;;;;;;;;;;x
USA_submarine_hull_11;BuShips 1950 Hull Blueprint;;;;;;;;;;;;;x
USA_submarine_hull_12;BuShips 1952 Hull Blueprint;;;;;;;;;;;;;x
USA_submarine_crew_berthing_1;BuShips 1918 Crew Berthing Blueprint;;;;;;;;;;;;;x
USA_submarine_crew_berthing_2;BuShips 1932 Crew Berthing Blueprint;;;;;;;;;;;;;x
USA_submarine_crew_berthing_3;BuShips 1934 Crew Berthing Blueprint;;;;;;;;;;;;;x
USA_submarine_crew_berthing_4;BuShips 1936 Crew Berthing Blueprint;;;;;;;;;;;;;x
USA_submarine_crew_berthing_5;BuShips 1938 Crew Berthing Blueprint;;;;;;;;;;;;;x
USA_submarine_crew_berthing_6;BuShips 1940 Crew Berthing Blueprint;;;;;;;;;;;;;x
USA_submarine_crew_berthing_7;BuShips 1942 Crew Berthing Blueprint;;;;;;;;;;;;;x
USA_submarine_crew_berthing_8;BuShips 1944 Crew Berthing Blueprint;;;;;;;;;;;;;x
USA_submarine_crew_berthing_9;BuShips 1946 Crew Berthing Blueprint;;;;;;;;;;;;;x
USA_submarine_crew_berthing_10;BuShips 1948 Crew Berthing Blueprint;;;;;;;;;;;;;x
USA_submarine_crew_berthing_11;BuShips 1950 Crew Berthing Blueprint;;;;;;;;;;;;;x
USA_submarine_crew_berthing_12;BuShips 1952 Crew Berthing Blueprint;;;;;;;;;;;;;x
USA_submarine_torpedo_tubes_1;BuShips 1918 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
USA_submarine_torpedo_tubes_2;BuShips 1932 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
USA_submarine_torpedo_tubes_3;BuShips 1935 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
USA_submarine_torpedo_tubes_4;BuShips 1938 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
USA_submarine_torpedo_tubes_5;BuShips 1941 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
USA_submarine_torpedo_tubes_6;BuShips 1944 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
USA_submarine_torpedo_tubes_7;BuShips 1947 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
USA_submarine_torpedo_tubes_8;BuShips 1950 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
USA_submarine_periscope_1;P-1/P-2;;;;;;;;;;;;;;x
USA_submarine_periscope_2;Mark 4/6;;;;;;;;;;;;;;x
USA_submarine_periscope_3;Mark 4/6;;;;;;;;;;;;;;x
USA_submarine_periscope_4;Mark 7/8;;;;;;;;;;;;;;x
USA_submarine_periscope_5;Mark 7/8/10;;;;;;;;;;;;;;x
USA_submarine_periscope_6;Mark 10/14/16;;;;;;;;;;;;;;x
USA_submarine_periscope_7;Mark 14/16;;;;;;;;;;;;;;x
USA_submarine_periscope_8;Mark 14/16/18;;;;;;;;;;;;;;x
USA_submarine_battery_1;Cells: 252, 250-300 V, 15,000-16,000 Ah;;;;;;;;;;;;;;x
USA_submarine_battery_2;Cells: 252, 250-300 V, 16,000-17,000 Ah;;;;;;;;;;;;;;x
USA_submarine_battery_3;Cells: 252, 250-300 V, 17,000-18,000 Ah;;;;;;;;;;;;;;x
USA_submarine_battery_4;Cells: 252, 250-300 V, 18,000 Ah;;;;;;;;;;;;;;x
USA_submarine_battery_5;Cells: 252, 250-300 V, 19,000 Ah;;;;;;;;;;;;;;x
USA_submarine_battery_6;Cells: 252, 250-300 V, 19,000-20,000 Ah;;;;;;;;;;;;;;x
USA_submarine_battery_7;Cells: 504, 250-300 V, 38,000-40,000 Ah;;;;;;;;;;;;;;x
USA_submarine_battery_8;Cells: 504, 250-300 V, 40,000 Ah;;;;;;;;;;;;;;x
USA_submarine_antiaircraft_1;3"/50 caliber Mark 2;;;;;;;;;;;;;;x
USA_submarine_antiaircraft_2;1-pounder (37 mm) Mark 6;;;;;;;;;;;;;;x
USA_submarine_antiaircraft_3;1-pounder (37 mm) Mark 6;;;;;;;;;;;;;;x
USA_submarine_antiaircraft_4;1.1"/75 caliber Mark 1;;;;;;;;;;;;;;x
USA_submarine_antiaircraft_5;20mm Oerlikon Mark 4;;;;;;;;;;;;;;x
USA_submarine_antiaircraft_6;20mm Oerlikon Mark 4, 40mm Bofors Mark 1 / Mark 2;;;;;;;;;;;;;;x
USA_streamlined_hull_1;;;;;;;;;;;;;;;x
USA_air_independent_propulsion_1;;;;;;;;;;;;;;;x
USA_submarine_sonar_1;Type B;;;;;;;;;;;;;;x
USA_submarine_sonar_2;Type B/A;;;;;;;;;;;;;;x
USA_submarine_sonar_3;Type B/A;;;;;;;;;;;;;;x
USA_submarine_sonar_4;Mark10 / Mark16;;;;;;;;;;;;;;x
USA_submarine_sonar_5;Mark16 / Mark10;;;;;;;;;;;;;;x
USA_submarine_sonar_6;Mark16 / Mark10 / BQS-2 / BQS-3;;;;;;;;;;;;;;x
USA_torpedo_upgrade_1;Bliss-Leavitt Mark 8;;;;;;;;;;;;;;x
USA_torpedo_upgrade_2;Mark 12;;;;;;;;;;;;;;x
USA_torpedo_upgrade_3;Mark 14;;;;;;;;;;;;;;x
USA_torpedo_upgrade_4;Mark 15;;;;;;;;;;;;;;x
USA_torpedo_upgrade_5;Mark 18;;;;;;;;;;;;;;x
USA_torpedo_upgrade_6;Mark 17;;;;;;;;;;;;;;x
USA_submarine_torpedo_1;Mark 10;;;;;;;;;;;;;;x
USA_submarine_torpedo_2;Mark 14/15;;;;;;;;;;;;;;x
USA_submarine_torpedo_3;Mark 14;;;;;;;;;;;;;;x
USA_submarine_torpedo_4;Mark 18;;;;;;;;;;;;;;x
USA_submarine_torpedo_5;Mark 16;;;;;;;;;;;;;;x
USA_submarine_torpedo_6;Mark 37;;;;;;;;;;;;;;x
USA_torpedo_warhead_1;466 lb TNT;;;;;;;;;;;;;;x
USA_torpedo_warhead_2;500 lb TNT;;;;;;;;;;;;;;x
USA_torpedo_warhead_3;643 lb Torpex;;;;;;;;;;;;;;x
USA_torpedo_warhead_4;650 lb Torpex;;;;;;;;;;;;;;x
USA_torpedo_warhead_5;760 lb Torpex;;;;;;;;;;;;;;x
USA_torpedo_warhead_6;1.260 lb Torpex;;;;;;;;;;;;;;x
USA_torpedo_targeting_1;Gyroscope Mod.1918;;;;;;;;;;;;;x
USA_torpedo_targeting_2;Gyroscope Mod.1934;;;;;;;;;;;;;x
USA_torpedo_targeting_3;Gyroscope Mod.1938;;;;;;;;;;;;;x
USA_torpedo_targeting_4;Gyroscope Mod.1942;;;;;;;;;;;;;x
USA_torpedo_targeting_5;Gyroscope Mod.1946;;;;;;;;;;;;;x
USA_torpedo_targeting_6;Gyroscope Mod.1950;;;;;;;;;;;;;x
USA_torpedo_propulsion_1;Wet-heater Mod.1918;;;;;;;;;;;;;x
USA_torpedo_propulsion_2;Wet-heater Mod.1934;;;;;;;;;;;;;x
USA_torpedo_propulsion_3;Wet-heater Mod.1938;;;;;;;;;;;;;x
USA_torpedo_propulsion_4;Wet-heater Mod.1942;;;;;;;;;;;;;x
USA_torpedo_propulsion_5;Wet-heater Mod.1946;;;;;;;;;;;;;x
USA_torpedo_propulsion_6;Wet-heater Mod.1950;;;;;;;;;;;;;x
