###########################################################;;;;;;;;;;;;;x
SOV_destroyer_technology_0;WWI Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_1;TsKB-17 1918 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_2;TsKB-17 1930 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_3;TsKB-17 1932 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_technology_4;TsKB-17 1934 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_0;;;;;;;;;;;;;;x
SOV_destroyer_class_1;TsKB-17 1936 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_2;TsKB-17 1938 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_3;TsKB-17 1940 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_4;TsKB-17 1942 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_5;TsKB-17 1944 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_6;TsKB-17 1946 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_7;TsKB-17 1948 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_destroyer_class_8;TsKB-17 1950 Destroyer Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_0;;;;;;;;;;;;;;x
SOV_frigate_class_1;TsKB-17 1939 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_2;TsKB-17 1940 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_3;TsKB-17 1942 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_4;TsKB-17 1944 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_5;TsKB-17 1946 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_6;TsKB-17 1948 Frigate Blueprint;;;;;;;;;;;;;x
SOV_frigate_class_7;TsKB-17 1950 Frigate Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_0;;;;;;;;;;;;;;x
SOV_torpedo_boat_class_1;TsKB-17 1918 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_2;TsKB-17 1932 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_3;TsKB-17 1934 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_4;TsKB-17 1936 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_5;TsKB-17 1938 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_6;TsKB-17 1940 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_7;TsKB-17 1942 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_8;TsKB-17 1944 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_9;TsKB-17 1946 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_10;TsKB-17 1948 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_torpedo_boat_class_11;TsKB-17 1950 Torpedo Boat Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_0;;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_1;TsKB-17 1918 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_2;TsKB-17 1932 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_3;TsKB-17 1934 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_4;TsKB-17 1936 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_5;TsKB-17 1938 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_6;TsKB-17 1940 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_7;TsKB-17 1942 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_8;TsKB-17 1944 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_9;TsKB-17 1946 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_10;TsKB-17 1948 MTB Blueprint;;;;;;;;;;;;;x
SOV_motor_torpedo_boat_class_11;TsKB-17 1950 MTB Blueprint;;;;;;;;;;;;;x
SOV_carrier_screws_optimisation_6;4 Bladed Manganese 4.5m, 5.0m pitch;;;;;;;;;;;;;;x
SOV_carrier_screws_optimisation_7;4 Bladed Manganese 4.7m, 5.4m pitch;;;;;;;;;;;;;;x
SOV_carrier_screws_optimisation_8;4 Bladed Manganese 4.9m, 5.8m pitch;;;;;;;;;;;;;;x
SOV_carrier_screws_optimisation_9;4 Bladed Manganese 5.1m, 6.2m pitch;;;;;;;;;;;;;;x
SOV_carrier_rudder_optimisation_1;Semi balanced rudder, Steel, 800psi;;;;;;;;;;;;;x
SOV_carrier_rudder_optimisation_2;Semi balanced rudder, 5 meters, Steel, 1000psi;;;;;;;;;;;;;x
SOV_carrier_rudder_optimisation_3;Twin semi balanced, 5 meters, Steel, 1200psi;;;;;;;;;;;;;x
SOV_carrier_rudder_optimisation_4;Semi balanced rudder, 6 meters, Steel, 1000psi;;;;;;;;;;;;;x
SOV_carrier_rudder_optimisation_5;Semi balanced rudder, 6 meters, Steel, 1000psi;;;;;;;;;;;;;x
SOV_carrier_rudder_optimisation_6;Semi balanced rudder, 6.5 meters, Steel, 1100psi;;;;;;;;;;;;;x
SOV_carrier_rudder_optimisation_7;Semi balanced rudder, 7 meters, Steel, 1200psi;;;;;;;;;;;;;x
SOV_carrier_rudder_optimisation_8;Semi balanced rudder, 7.5 meters, Steel, 1300psi;;;;;;;;;;;;;x
SOV_carrier_rudder_optimisation_9;Semi balanced rudder, 7.5 meters, Steel, 1400psi;;;;;;;;;;;;;x
SOV_carrier_hull_shape_optimisation_1;TsKB-53 Hull Blueprint 1918;;;;;;;;;;;;;x
SOV_carrier_hull_shape_optimisation_2;TsKB-53 Hull Blueprint 1929;;;;;;;;;;;;;x
SOV_carrier_hull_shape_optimisation_3;TsKB-53 Hull Blueprint 1932;;;;;;;;;;;;;x
SOV_carrier_hull_shape_optimisation_4;TsKB-53 Hull Blueprint 1935;;;;;;;;;;;;;x
SOV_carrier_hull_shape_optimisation_5;TsKB-53 Hull Blueprint 1938;;;;;;;;;;;;;x
SOV_carrier_hull_shape_optimisation_6;TsKB-53 Hull Blueprint 1941;;;;;;;;;;;;;x
SOV_carrier_hull_shape_optimisation_7;TsKB-53 Hull Blueprint 1944;;;;;;;;;;;;;x
SOV_carrier_hull_shape_optimisation_8;TsKB-53 Hull Blueprint 1947;;;;;;;;;;;;;x
SOV_carrier_hull_shape_optimisation_9;TsKB-53 Hull Blueprint 1950;;;;;;;;;;;;;x
SOV_carrier_armour_thickness_1;Magazines: 50mm Avgas: 20mm;;;;;;;;;;;;;x
SOV_carrier_armour_thickness_2;Magazines: 50mm Avgas: 20mm;;;;;;;;;;;;;x
SOV_carrier_armour_thickness_3;Magazines: 80mm, Avgas: 25mm;;;;;;;;;;;;;x
SOV_carrier_armour_thickness_4;Magazines: 80mm, Avgas: 30mm;;;;;;;;;;;;;x
SOV_carrier_armour_thickness_5;Magazines: 80mm, Avgas: 35mm;;;;;;;;;;;;;x
SOV_carrier_armour_thickness_6;Magazines: 90mm, Avgas: 35mm;;;;;;;;;;;;;x
SOV_carrier_armour_thickness_7;Magazines: 100mm, Avgas: 40mm;;;;;;;;;;;;;x
SOV_carrier_armour_thickness_8;Magazines: 110mm, Avgas: 45mm;;;;;;;;;;;;;x
SOV_carrier_armour_thickness_9;Magazines: 130mm, Avgas: 50mm;;;;;;;;;;;;;x
SOV_light_carrier_armour_thickness_1;Magazines: 60mm, Avgas: 10mm;;;;;;;;;;;;;x
SOV_light_carrier_armour_thickness_2;Magazines: 65mm, Avgas: 10mm;;;;;;;;;;;;;x
SOV_light_carrier_armour_thickness_3;Magazines: 70mm, Avgas: 20mm;;;;;;;;;;;;;x
SOV_light_carrier_armour_thickness_4;Magazines: 75mm, Avgas: 20mm;;;;;;;;;;;;;x
SOV_light_carrier_armour_thickness_5;Magazines: 80mm, Avgas: 25mm;;;;;;;;;;;;;x
SOV_light_carrier_armour_thickness_6;Magazines: 85mm, Avgas: 25mm;;;;;;;;;;;;;x
SOV_light_carrier_armour_thickness_7;Magazines: 90mm, Avgas: 30mm;;;;;;;;;;;;;x
SOV_light_carrier_armour_thickness_8;Magazines: 100mm, Avgas: 30mm;;;;;;;;;;;;;x
SOV_light_carrier_armour_thickness_9;Magazines: 110mm, Avgas: 40mm;;;;;;;;;;;;;x
SOV_carrier_vertical_protection_1;Main belt: CV:50mm CVL:40mm Hangar: CV:20mm CVL:0mm;;;;;;;;;;;;;x
SOV_carrier_vertical_protection_2;Main belt: CV:65mm CVL:45mm Hangar: CV:20mm CVL:10mm;;;;;;;;;;;;;x
SOV_carrier_vertical_protection_3;Main belt: CV:90mm CVL:55mm Hangar: CV:25mm CVL:10mm;;;;;;;;;;;;;x
SOV_carrier_vertical_protection_4;Main belt: CV:100mm CVL:65mm Hangar: CV:35mm CVL:25mm;;;;;;;;;;;;;x
SOV_carrier_vertical_protection_5;Main belt: CV:110mm CVL:75mm Hangar: CV:35mm CVL:25mm;;;;;;;;;;;;;x
SOV_carrier_vertical_protection_6;Main belt: CV:120mm CVL:85mm Hangar: CV:45mm CVL:30mm;;;;;;;;;;;;;x
SOV_carrier_vertical_protection_7;Main belt: CV:125mm CVL:95mm Hangar: CV:50mm CVL:30mm;;;;;;;;;;;;;x
SOV_carrier_vertical_protection_8;Main belt: CV:135mm CVL:100mm Hangar: CV:60mm CVL:35mm;;;;;;;;;;;;;x
SOV_carrier_vertical_protection_9;Main belt: CV:145mm CVL:105mm Hangar: CV:80mm CVL:35mm;;;;;;;;;;;;;x
SOV_carrier_horizontal_protection_1;Flight deck: CV:10mm CVL:10mm, Hangar deck: CV:15mm CVL:10mm;;;;;;;;;;;;;x
SOV_carrier_horizontal_protection_2;Flight deck: CV:15mm CVL:10mm, Hangar deck: CV:20mm CVL:15mm;;;;;;;;;;;;;x
SOV_carrier_horizontal_protection_3;Flight deck: CV:20mm CVL:15mm, Hangar deck: CV:25mm CVL:15mm;;;;;;;;;;;;;x
SOV_carrier_horizontal_protection_4;Flight deck: CV:30mm CVL:15mm, Hangar deck: CV:25mm CVL:20mm;;;;;;;;;;;;;x
SOV_carrier_horizontal_protection_5;Flight deck: CV:40mm CVL:20mm, Hangar deck: CV:30mm CVL:20mm;;;;;;;;;;;;;x
SOV_carrier_horizontal_protection_6;Flight deck: CV:50mm CVL:20mm, Hangar deck: CV:35mm CVL:25mm;;;;;;;;;;;;;x
SOV_carrier_horizontal_protection_7;Flight deck: CV:60mm CVL:25mm, Hangar deck: CV:45mm CVL:30mm;;;;;;;;;;;;;x
SOV_carrier_horizontal_protection_8;Flight deck: CV:70mm CVL:25mm, Hangar deck: CV:55mm CVL:35mm;;;;;;;;;;;;;x
SOV_carrier_horizontal_protection_9;Flight deck: CV:80mm CVL:25mm, Hangar deck: CV:75mm CVL:40mm;;;;;;;;;;;;;x
SOV_carrier_torpedo_protection_1;2m/35mm;;;;;;;;;;;;;x
SOV_carrier_torpedo_protection_2;2m/45mm;;;;;;;;;;;;;x
SOV_carrier_torpedo_protection_3;2.5m/55mm;;;;;;;;;;;;;x
SOV_carrier_torpedo_protection_4;2.5m/65mm;;;;;;;;;;;;;x
SOV_carrier_torpedo_protection_5;2.5m/75mm;;;;;;;;;;;;;x
SOV_carrier_torpedo_protection_6;2.5m/85mm;;;;;;;;;;;;;x
SOV_carrier_torpedo_protection_7;2.7m/95mm;;;;;;;;;;;;;x
SOV_carrier_torpedo_protection_8;3m/100mm;;;;;;;;;;;;;x
SOV_carrier_torpedo_protection_9;3.5m/120mm;;;;;;;;;;;;;x
SOV_carrier_bulkheads_layout_1;CV: 50mm / CVL: 30mm;;;;;;;;;;;;;x
SOV_carrier_bulkheads_layout_2;CV: 50mm / CVL: 30mm;;;;;;;;;;;;;x
SOV_carrier_bulkheads_layout_3;CV: 60mm / CVL: 35mm;;;;;;;;;;;;;x
SOV_carrier_bulkheads_layout_4;CV: 70mm / CVL: 35mm;;;;;;;;;;;;;x
SOV_carrier_bulkheads_layout_5;CV: 80mm / CVL: 40mm;;;;;;;;;;;;;x
SOV_carrier_bulkheads_layout_6;CV: 100mm / CVL: 40mm;;;;;;;;;;;;;x
SOV_carrier_bulkheads_layout_7;CV: 120mm / CVL: 45mm;;;;;;;;;;;;;x
SOV_carrier_bulkheads_layout_8;CV: 130mm / CVL: 45mm;;;;;;;;;;;;;x
SOV_carrier_bulkheads_layout_9;CV: 140mm / CVL: 55mm;;;;;;;;;;;;;x
SOV_carrier_hanger_1;TsKB-53 Hangar Layout Blueprint 1918;;;;;;;;;;;;;x
SOV_carrier_hanger_2;TsKB-53 Hangar Layout Blueprint 1929;;;;;;;;;;;;;x
SOV_carrier_hanger_3;TsKB-53 Hangar Layout Blueprint 1932;;;;;;;;;;;;;x
SOV_carrier_hanger_4;TsKB-53 Hangar Layout Blueprint 1935;;;;;;;;;;;;;x
SOV_carrier_hanger_5;TsKB-53 Hangar Layout Blueprint 1938;;;;;;;;;;;;;x
SOV_carrier_hanger_6;TsKB-53 Hangar Layout Blueprint 1941;;;;;;;;;;;;;x
SOV_carrier_hanger_7;TsKB-53 Hangar Layout Blueprint 1944;;;;;;;;;;;;;x
SOV_carrier_hanger_8;TsKB-53 Hangar Layout Blueprint 1947;;;;;;;;;;;;;x
SOV_carrier_hanger_9;TsKB-53 Hangar Layout Blueprint 1950;;;;;;;;;;;;;x
SOV_escort_carrier_technology_1;;;;;;;;;;;;;;;x
SOV_seaplane_tender_technology_1;;;;;;;;;;;;;;;x
SOV_carrier_deck_armour_optimisation_1;;;;;;;;;;;;;;;x
SOV_carrier_flight_deck_optimisation_1;;;;;;;;;;;;;;;x
SOV_carrier_damage_control_1;;;;;;;;;;;;;;;x
SOV_carrier_damage_control_2;;;;;;;;;;;;;;;x
SOV_carrier_damage_control_3;;;;;;;;;;;;;;;x
SOV_carrier_damage_control_4;;;;;;;;;;;;;;;x
SOV_carrier_damage_control_5;;;;;;;;;;;;;;;x
SOV_carrier_damage_control_6;;;;;;;;;;;;;;;x
SOV_carrier_damage_control_7;;;;;;;;;;;;;;;x
SOV_cag_fighter_1;;;;;;;;;;;;;;;x
SOV_cag_fighter_2;;;;;;;;;;;;;;;x
SOV_cag_fighter_3;;;;;;;;;;;;;;;x
SOV_cag_fighter_4;;;;;;;;;;;;;;;x
SOV_cag_fighter_5;;;;;;;;;;;;;;;x
SOV_cag_fighter_6;;;;;;;;;;;;;;;x
SOV_cag_bomber_1;;;;;;;;;;;;;;;x
SOV_cag_bomber_2;;;;;;;;;;;;;;;x
SOV_cag_bomber_3;;;;;;;;;;;;;;;x
SOV_cag_bomber_4;;;;;;;;;;;;;;;x
SOV_cag_bomber_5;;;;;;;;;;;;;;;x
SOV_cag_bomber_6;;;;;;;;;;;;;;;x
SOV_cag_torpedo_1;;;;;;;;;;;;;;;x
SOV_cag_torpedo_2;;;;;;;;;;;;;;;x
SOV_cag_torpedo_3;;;;;;;;;;;;;;;x
SOV_cag_torpedo_4;;;;;;;;;;;;;;;x
SOV_cag_torpedo_5;;;;;;;;;;;;;;;x
SOV_cag_torpedo_6;;;;;;;;;;;;;;;x
SOV_off_center_elevators_1;;;;;;;;;;;;;;;x
SOV_carrier_catapults_1;Mod. 1936;;;;;;;;;;;;;x
SOV_carrier_catapults_2;Mod. 1940;;;;;;;;;;;;;x
SOV_carrier_catapults_3;Mod. 1944;;;;;;;;;;;;;x
SOV_carrier_catapults_4;Mod. 1948;;;;;;;;;;;;;x
SOV_open_hangar_1;;;;;;;;;;;;;;;x
SOV_closed_hangar_1;;;;;;;;;;;;;;;x
SOV_carrier_safety_procedures_1;;;;;;;;;;;;;;;x
SOV_carrier_safety_procedures_2;;;;;;;;;;;;;;;x
SOV_carrier_safety_procedures_3;;;;;;;;;;;;;;;x
SOV_carrier_safety_procedures_4;;;;;;;;;;;;;;;x
SOV_carrier_safety_procedures_5;;;;;;;;;;;;;;;x
SOV_carrier_safety_procedures_6;;;;;;;;;;;;;;;x
SOV_carrier_safety_procedures_7;;;;;;;;;;;;;;;x
SOV_carrier_safety_procedures_8;;;;;;;;;;;;;;;x
SOV_carrier_safety_procedures_9;;;;;;;;;;;;;;;x
SOV_carrier_safety_procedures_10;;;;;;;;;;;;;;;x
SOV_double_hangar_1;;;;;;;;;;;;;;;x
SOV_deck_park_1;;;;;;;;;;;;;;;x
SOV################################################################################;;;;;;;;;;;;;;;x
SOV_coastal_submarine_class_1;TsKB-18 1918 Coastal Submarine Blueprint;;;;;;;;;;;;;x
SOV_coastal_submarine_class_2;TsKB-18 1933 Coastal Submarine Blueprint;;;;;;;;;;;;;x
SOV_coastal_submarine_class_3;TsKB-18 1935 Coastal Submarine Blueprint;;;;;;;;;;;;;x
SOV_coastal_submarine_class_4;TsKB-18 1937 Coastal Submarine Blueprint;;;;;;;;;;;;;x
SOV_coastal_submarine_class_5;TsKB-18 1939 Coastal Submarine Blueprint;;;;;;;;;;;;;x
SOV_coastal_submarine_class_6;TsKB-18 1941 Coastal Submarine Blueprint;;;;;;;;;;;;;x
SOV_coastal_submarine_class_7;TsKB-18 1943 Coastal Submarine Blueprint;;;;;;;;;;;;;x
SOV_submarine_class_1;TsKB-18 1918 Submarine Blueprint;;;;;;;;;;;;;x
SOV_submarine_class_2;TsKB-18 1933 Submarine Blueprint;;;;;;;;;;;;;x
SOV_submarine_class_3;TsKB-18 1935 Submarine Blueprint;;;;;;;;;;;;;x
SOV_submarine_class_4;TsKB-18 1937 Submarine Blueprint;;;;;;;;;;;;;x
SOV_submarine_class_5;TsKB-18 1939 Submarine Blueprint;;;;;;;;;;;;;x
SOV_submarine_class_6;TsKB-18 1941 Submarine Blueprint;;;;;;;;;;;;;x
SOV_submarine_class_7;TsKB-18 1943 Submarine Blueprint;;;;;;;;;;;;;x
SOV_submarine_class_8;TsKB-18 1945 Submarine Blueprint;;;;;;;;;;;;;x
SOV_submarine_class_9;TsKB-18 1947 Submarine Blueprint;;;;;;;;;;;;;x
SOV_submarine_class_10;TsKB-18 1949 Submarine Blueprint;;;;;;;;;;;;;x
SOV_submarine_class_11;TsKB-18 1951 Submarine Blueprint;;;;;;;;;;;;;x
SOV_long_range_submarine_class_1;TsKB-19 1918 Long Range Submarine Blueprint;;;;;;;;;;;;;x
SOV_long_range_submarine_class_2;TsKB-19 1933 Long Range Submarine Blueprint;;;;;;;;;;;;;x
SOV_long_range_submarine_class_3;TsKB-19 1936 Long Range Submarine Blueprint;;;;;;;;;;;;;x
SOV_long_range_submarine_class_4;TsKB-19 1939 Long Range Submarine Blueprint;;;;;;;;;;;;;x
SOV_long_range_submarine_class_5;TsKB-19 1942 Long Range Submarine Blueprint;;;;;;;;;;;;;x
SOV_long_range_submarine_class_6;TsKB-19 1945 Long Range Submarine Blueprint;;;;;;;;;;;;;x
SOV_long_range_submarine_class_7;TsKB-19 1948 Long Range Submarine Blueprint;;;;;;;;;;;;;x
SOV_long_range_submarine_class_8;TsKB-19 1951 Long Range Submarine Blueprint;;;;;;;;;;;;;x
SOV_electro_submarine_class_1;TsKB-19 1942 Electro Submarine Blueprint;;;;;;;;;;;;;x
SOV_electro_submarine_class_2;TsKB-19 1944 Electro Submarine Blueprint;;;;;;;;;;;;;x
SOV_electro_submarine_class_3;TsKB-19 1948 Electro Submarine Blueprint;;;;;;;;;;;;;x
SOV_electro_submarine_class_4;TsKB-19 1952 Electro Submarine Blueprint;;;;;;;;;;;;;x
SOV_nuclear_submarine_design_1;TsKB-19 1952 Nuclear Submarine Blueprint;;;;;;;;;;;;;x
SOV_nuclear_submarine_design_2;TsKB-19 1954 Nuclear Submarine Blueprint;;;;;;;;;;;;;x
SOV_nuclear_submarine_design_3;TsKB-19 1959 Nuclear Submarine Blueprint;;;;;;;;;;;;;x
SOV_nuclear_submarine_design_4;TsKB-19 1964 Nuclear Submarine Blueprint;;;;;;;;;;;;;x
SOV_submarine_engine_1;Sulzer-type diesels 1.500shp, Electric engines 600shp;;;;;;;;;;;;;;x
SOV_submarine_engine_2;MAN-type diesels 1.600shp, Electric engines 800shp;;;;;;;;;;;;;;x
SOV_submarine_engine_3;MAN-type diesels 1.700shp, Electric engines 1000shp;;;;;;;;;;;;;;x
SOV_submarine_engine_4;MAN-type diesels 1.800shp, Electric engines 1300shp;;;;;;;;;;;;;;x
SOV_submarine_engine_5;MAN-type diesels 2.100shp, Electric engines 1600shp;;;;;;;;;;;;;;x
SOV_submarine_engine_6;MAN-type diesels 2.500shp, Electric engines 2000shp;;;;;;;;;;;;;;x
SOV_submarine_engine_7;MAN-type diesels 3.300shp, Electric engines 2200shp;;;;;;;;;;;;;;x
SOV_submarine_engine_8;MAN-type diesels 3.800shp, Electric engines 2400shp;;;;;;;;;;;;;;x
SOV_submarine_engine_9;MAN-type diesels 4.200shp, Electric engines 2400shp;;;;;;;;;;;;;;x
SOV_submarine_engine_10;MAN-type diesels 4.400shp, Electric engines 2700shp;;;;;;;;;;;;;;x
SOV_submarine_engine_11;MAN-type diesels 4.600shp, Electric engines 2850shp;;;;;;;;;;;;;;x
SOV_submarine_engine_12;MAN-type diesels 4.800shp, Electric engines 3000shp;;;;;;;;;;;;;;x
SOV_submarine_hull_1;TsKB-18 1918 Hull Blueprint;;;;;;;;;;;;;x
SOV_submarine_hull_2;TsKB-18 1932 Hull Blueprint;;;;;;;;;;;;;x
SOV_submarine_hull_3;TsKB-18 1934 Hull Blueprint;;;;;;;;;;;;;x
SOV_submarine_hull_4;TsKB-18 1936 Hull Blueprint;;;;;;;;;;;;;x
SOV_submarine_hull_5;TsKB-18 1938 Hull Blueprint;;;;;;;;;;;;;x
SOV_submarine_hull_6;TsKB-18 1940 Hull Blueprint;;;;;;;;;;;;;x
SOV_submarine_hull_7;TsKB-18 1942 Hull Blueprint;;;;;;;;;;;;;x
SOV_submarine_hull_8;TsKB-18 1944 Hull Blueprint;;;;;;;;;;;;;x
SOV_submarine_hull_9;TsKB-18 1946 Hull Blueprint;;;;;;;;;;;;;x
SOV_submarine_hull_10;TsKB-18 1948 Hull Blueprint;;;;;;;;;;;;;x
SOV_submarine_hull_11;TsKB-18 1950 Hull Blueprint;;;;;;;;;;;;;x
SOV_submarine_hull_12;TsKB-18 1952 Hull Blueprint;;;;;;;;;;;;;x
SOV_submarine_crew_berthing_1;TsKB-18 1918 Crew Berthing Blueprint;;;;;;;;;;;;;x
SOV_submarine_crew_berthing_2;TsKB-18 1932 Crew Berthing Blueprint;;;;;;;;;;;;;x
SOV_submarine_crew_berthing_3;TsKB-18 1934 Crew Berthing Blueprint;;;;;;;;;;;;;x
SOV_submarine_crew_berthing_4;TsKB-18 1936 Crew Berthing Blueprint;;;;;;;;;;;;;x
SOV_submarine_crew_berthing_5;TsKB-18 1938 Crew Berthing Blueprint;;;;;;;;;;;;;x
SOV_submarine_crew_berthing_6;TsKB-18 1940 Crew Berthing Blueprint;;;;;;;;;;;;;x
SOV_submarine_crew_berthing_7;TsKB-18 1942 Crew Berthing Blueprint;;;;;;;;;;;;;x
SOV_submarine_crew_berthing_8;TsKB-18 1944 Crew Berthing Blueprint;;;;;;;;;;;;;x
SOV_submarine_crew_berthing_9;TsKB-18 1946 Crew Berthing Blueprint;;;;;;;;;;;;;x
SOV_submarine_crew_berthing_10;TsKB-18 1948 Crew Berthing Blueprint;;;;;;;;;;;;;x
SOV_submarine_crew_berthing_11;TsKB-18 1950 Crew Berthing Blueprint;;;;;;;;;;;;;x
SOV_submarine_crew_berthing_12;TsKB-18 1952 Crew Berthing Blueprint;;;;;;;;;;;;;x
SOV_submarine_torpedo_tubes_1;TsKB-18 1918 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
SOV_submarine_torpedo_tubes_2;TsKB-18 1932 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
SOV_submarine_torpedo_tubes_3;TsKB-18 1935 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
SOV_submarine_torpedo_tubes_4;TsKB-18 1938 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
SOV_submarine_torpedo_tubes_5;TsKB-18 1941 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
SOV_submarine_torpedo_tubes_6;TsKB-18 1944 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
SOV_submarine_torpedo_tubes_7;TsKB-18 1947 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
SOV_submarine_torpedo_tubes_8;TsKB-18 1950 Torpedo Tubes Blueprint;;;;;;;;;;;;;x
SOV_submarine_periscope_1;MMP-1;;;;;;;;;;;;;;x
SOV_submarine_periscope_2;MMP-3;;;;;;;;;;;;;;x
SOV_submarine_periscope_3;MMP-4;;;;;;;;;;;;;;x
SOV_submarine_periscope_4;MMP-5/6;;;;;;;;;;;;;;x
SOV_submarine_periscope_5;MMP-7;;;;;;;;;;;;;;x
SOV_submarine_periscope_6;MMP-8;;;;;;;;;;;;;;x
SOV_submarine_periscope_7;MMP-9;;;;;;;;;;;;;;x
SOV_submarine_periscope_8;MMP-10;;;;;;;;;;;;;;x
SOV_submarine_battery_1;Cells 248, 110-120V, 6.000Ah;;;;;;;;;;;;;;x
SOV_submarine_battery_2;Cells 248, 110-120V, 7.000Ah;;;;;;;;;;;;;;x
SOV_submarine_battery_3;Cells 256, 110-120V, 7.500Ah;;;;;;;;;;;;;;x
SOV_submarine_battery_4;Cells 256, 110-120V, 8.500Ah;;;;;;;;;;;;;;x
SOV_submarine_battery_5;Cells 264, 110-120V, 9.000Ah;;;;;;;;;;;;;;x
SOV_submarine_battery_6;Cells 264, 120V, 9.500Ah;;;;;;;;;;;;;;x
SOV_submarine_battery_7;Cells 280, 120V, 10.000Ah;;;;;;;;;;;;;;x
SOV_submarine_battery_8;Cells 280, 120V, 11.000Ah;;;;;;;;;;;;;;x
SOV_submarine_antiaircraft_1;1x37mm Hotchkiss;;;;;;;;;;;;;;x
SOV_submarine_antiaircraft_2;1x37mm 70-K, 12.7mm DShK;;;;;;;;;;;;;;x
SOV_submarine_antiaircraft_3;1x37mm 70-K, 12.7mm DShK;;;;;;;;;;;;;;x
SOV_submarine_antiaircraft_4;2x37mm 70-K;;;;;;;;;;;;;;x
SOV_submarine_antiaircraft_5;2x37mm 80-K;;;;;;;;;;;;;;x
SOV_submarine_antiaircraft_6;2x37mm 90-K;;;;;;;;;;;;;;x
SOV_streamlined_hull_1;;;;;;;;;;;;;;;x
SOV_air_independent_propulsion_1;;;;;;;;;;;;;;;x
SOV_submarine_sonar_1;AP-1;;;;;;;;;;;;;;x
SOV_submarine_sonar_2;AP-2;;;;;;;;;;;;;;x
SOV_submarine_sonar_3;AP-3;;;;;;;;;;;;;;x
SOV_submarine_sonar_4;AP-4;;;;;;;;;;;;;;x
SOV_submarine_sonar_5;AP-5;;;;;;;;;;;;;;x
SOV_submarine_sonar_6;AP-6;;;;;;;;;;;;;;x
SOV_torpedo_upgrade_1;D-1;;;;;;;;;;;;;;x
SOV_torpedo_upgrade_2;53-27;;;;;;;;;;;;;;x
SOV_torpedo_upgrade_3;53-36;;;;;;;;;;;;;;x
SOV_torpedo_upgrade_4;53-38U;;;;;;;;;;;;;;x
SOV_torpedo_upgrade_5;53-51;;;;;;;;;;;;;;x
SOV_torpedo_upgrade_6;53-38M / 53-38MU;;;;;;;;;;;;;;x
